"B306201 - Mean Travel time (1) by Means of transportation (7) (Workers 16 years and over who did not work at home)"
"Current date: 4/24/2020 1:41:18 AM (Eastern Daylight Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 7","Output","Mean Travel Time",
"New York County, New York","Bronx County, New York","Car, truck, or van -- Carpooled","Estimate","35.9"
"New York County, New York","Bronx County, New York","Car, truck, or van -- Carpooled","Margin of Error","5.3"
"New York County, New York","Bronx County, New York","Public transportation","Estimate","47.7"
"New York County, New York","Bronx County, New York","Public transportation","Margin of Error","1.6"
"New York County, New York","Bronx County, New York","Bicycle or walked","Estimate","22.1"
"New York County, New York","Bronx County, New York","Bicycle or walked","Margin of Error","3.4"
"New York County, New York","Bronx County, New York","Taxicab, motorcycle or other method","Estimate","23.5"
"New York County, New York","Bronx County, New York","Taxicab, motorcycle or other method","Margin of Error","2.8"
"New York County, New York","Bronx County, New York","Worked at home","Estimate","0"
"New York County, New York","Bronx County, New York","Worked at home","Margin of Error","0"
"New York County, New York","Kings County, New York","Total, means of transportation","Estimate","47.1"
"New York County, New York","Kings County, New York","Total, means of transportation","Margin of Error","1.4"
"New York County, New York","Kings County, New York","Car, truck, or van -- Drove alone","Estimate","40.2"
"New York County, New York","Kings County, New York","Car, truck, or van -- Drove alone","Margin of Error","3.5"
"New York County, New York","Kings County, New York","Car, truck, or van -- Carpooled","Estimate","56"
"New York County, New York","Kings County, New York","Car, truck, or van -- Carpooled","Margin of Error","13.4"
"New York County, New York","Kings County, New York","Public transportation","Estimate","49.1"
"New York County, New York","Kings County, New York","Public transportation","Margin of Error","1.6"
"New York County, New York","Kings County, New York","Bicycle or walked","Estimate","26.8"
"New York County, New York","Kings County, New York","Bicycle or walked","Margin of Error","4.3"
"New York County, New York","Kings County, New York","Taxicab, motorcycle or other method","Estimate","25.2"
"New York County, New York","Kings County, New York","Taxicab, motorcycle or other method","Margin of Error","6.5"
"New York County, New York","Kings County, New York","Worked at home","Estimate","0"
"New York County, New York","Kings County, New York","Worked at home","Margin of Error","0"
